Ticker,Sector,Last Close,52W High,% From High,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
EXEL,Other,55.85,56.21,-0.64,62.7,0.9,2026-07-02,18.5,7.32,3.26,0.088,,3.02,N,N,3
EXTR,Other,29.8,33.1,-9.97,41.4,0.8,2026-06-30,248.3,50.0,0.91,2.985,,0.12,N,N,1
FA,Other,20.53,20.59,-0.29,83.1,0.9,2026-07-02,410.6,2.74,2.65,1.597,,0.05,N,N,2
FATE,Other,2.92,3.21,-9.03,73.2,0.9,2026-07-02,,1.89,5.85,0.427,,-1.09,N,N,2
FBIZ,Other,63.85,65.49,-2.5,69.2,0.8,2026-07-02,10.5,1.45,,,197.0,6.06,N,N,4
FBLA,Other,15.21,15.46,-1.62,75.9,0.6,2026-06-26,89.5,0.8,,,,0.17,N,N,2
FBNC,Other,63.8,66.06,-3.42,64.7,0.9,2026-07-01,21.8,1.57,,,150.0,2.93,N,N,2
FCBC,Other,45.12,45.84,-1.57,58.6,0.8,2026-07-02,17.1,1.63,,,275.0,2.64,N,N,2
FCCO,Other,32.93,34.01,-3.18,58.3,0.4,2026-06-26,12.9,1.4,,,194.0,2.55,N,N,4
FCEL,Other,28.11,37.88,-25.79,64.0,0.8,2026-06-30,,2.48,8.59,0.202,,-6.2,N,N,2
FDBC,Other,52.81,53.51,-1.31,60.5,0.5,2026-07-02,10.4,1.25,,,319.0,5.1,N,N,4
FDMT,Other,13.0,14.0,-7.14,81.1,0.9,2026-06-30,,1.5,9.34,0.045,,-2.57,N,N,3
FDSB,Other,16.62,16.62,0.0,84.2,0.4,2026-07-02,19.3,0.68,,,,0.86,N,N,2
FENC,Other,10.7,11.31,-5.39,75.1,0.5,2026-06-29,,9.81,6.98,,,-0.29,N,N,1
FFBC,Other,34.39,35.0,-1.74,74.4,0.9,2026-07-02,12.2,1.23,,,291.0,2.83,N,N,4
FHB,Other,29.97,30.56,-1.93,68.1,0.9,2026-07-02,13.1,1.32,,,347.0,2.28,N,N,4
FIBK,Other,39.15,39.65,-1.26,71.3,0.9,2026-07-02,12.8,1.14,,,480.0,3.06,N,N,4
FISI,Other,39.02,40.26,-3.08,62.5,0.6,2026-07-01,10.2,1.25,,,323.0,3.84,N,N,4
FLNT,Other,3.9,4.15,-6.02,85.0,0.1,2026-07-01,,8.74,0.95,2.327,,-0.83,N,N,0
FLXS,Other,72.49,77.19,-6.09,74.2,0.9,2026-07-02,13.2,2.09,3.44,0.291,117.0,5.48,N,N,5
FLYW,Other,18.75,18.92,-0.9,83.7,1.0,2026-07-02,78.1,2.71,1.75,0.002,,0.24,N,N,2
FMAO,Other,30.67,32.0,-4.16,70.3,1.0,2026-07-02,11.7,1.11,,,299.0,2.62,N,N,4
FMBH,Other,48.46,49.64,-2.38,65.3,0.6,2026-07-01,12.3,1.2,,,206.0,3.95,N,N,4
FMNB,Other,14.64,14.97,-2.2,55.5,0.9,2026-07-02,10.1,1.13,,,464.0,1.45,N,N,4
FNLC,Other,35.04,35.93,-2.48,75.2,0.7,2026-06-29,10.8,1.38,,,434.0,3.24,N,N,4
FNWB,Other,11.15,11.51,-3.13,63.1,0.5,2026-07-02,20.3,0.63,,,290.0,0.55,N,N,3
FORM,Other,123.59,160.27,-22.89,47.9,1.0,2026-06-30,142.1,9.1,4.55,0.03,,0.87,N,N,3
FRAF,Other,63.62,64.88,-1.94,64.4,1.4,2026-07-02,11.9,1.6,,,214.0,5.34,N,N,3
FRBA,Other,17.63,18.19,-3.08,67.0,0.7,2026-07-01,10.6,0.98,,,170.0,1.67,N,N,4
FRME,Other,43.44,44.59,-2.58,64.6,0.9,2026-07-02,12.8,1.03,,,341.0,3.39,N,N,4
FROG,Other,94.81,96.0,-1.24,73.5,0.8,2026-07-02,,12.43,2.26,0.018,,-0.53,N,N,2
FRST,Other,15.82,16.77,-5.66,56.0,0.6,2026-06-26,8.5,0.92,,,253.0,1.87,N,N,4
FSBC,Other,48.66,50.01,-2.7,74.8,0.6,2026-07-02,15.4,2.27,,,206.0,3.15,N,N,2
FSBW,Other,43.92,44.89,-2.16,60.8,1.1,2026-07-01,10.3,1.04,,,262.0,4.27,N,N,4
FTDR,Other,78.5,80.09,-1.99,88.1,1.0,2026-07-02,22.4,24.07,1.47,5.213,,3.5,N,N,1
FULT,Other,24.11,24.71,-2.43,66.2,0.7,2026-07-02,11.5,1.3,,,315.0,2.1,N,N,4
FUNC,Other,44.53,46.3,-3.82,62.3,0.6,2026-07-01,11.3,1.4,,,235.0,3.93,N,N,4
FUSB,Other,16.5,16.99,-2.88,55.9,0.0,2026-07-01,15.9,0.88,,,170.0,1.04,N,N,3
FVN,Other,10.97,11.99,-8.51,66.1,0.0,2026-06-30,40.6,148.24,165.23,0.343,,0.27,N,N,3
FXNC,Other,30.04,31.21,-3.75,53.8,0.3,2026-07-01,13.0,1.44,,,226.0,2.31,N,N,4
GCBC,Other,34.66,34.77,-0.32,76.3,0.7,2026-07-01,15.1,2.21,,,115.0,2.29,N,N,2
GCMG,Other,12.91,12.98,-0.54,89.8,0.5,2026-07-02,25.8,30.09,2.28,3.453,372.0,0.5,N,N,3
GH,Other,167.98,172.61,-2.68,78.7,1.0,2026-07-01,,-121.99,4.68,,,-3.39,N,N,2
GHRS,Other,27.01,28.96,-6.73,74.3,0.6,2026-06-29,,6.36,23.04,0.002,,-0.91,N,N,2
GLBS,Other,3.09,3.19,-3.13,71.4,0.4,2026-07-02,,0.38,2.65,0.612,,-0.08,N,N,3
GSBC,Other,78.83,82.4,-4.33,63.8,1.0,2026-07-02,12.5,1.35,,,218.0,6.3,N,N,4
GTEN,Other,10.49,10.6,-1.04,60.1,7.1,2026-07-02,61.7,-16.76,0.29,,,0.17,N,N,2
GTERA,Other,10.31,10.32,-0.1,60.0,0.0,2026-06-29,25.1,-332.58,5.09,,,0.41,N,N,3
GTX,Other,31.75,36.25,-12.41,42.8,1.4,2026-06-30,18.6,-7.63,0.98,,101.0,1.71,N,N,3
HAFC,Other,32.49,33.5,-3.01,61.1,0.7,2026-07-02,12.1,1.2,,,345.0,2.68,N,N,4
HAVA,Other,10.1,10.13,-0.3,57.1,0.0,2026-06-29,112.2,-54.01,1.91,,,0.09,N,N,2
HBCP,Other,69.32,71.46,-2.99,58.1,1.2,2026-07-02,11.7,1.22,,,176.0,5.95,N,N,4
HBNC,Other,19.78,20.42,-3.13,56.1,0.7,2026-07-02,,1.45,,,324.0,-3.28,N,N,2
HBT,Other,32.18,33.1,-2.78,71.4,0.5,2026-07-02,14.8,1.57,,,286.0,2.18,N,N,3
HCSG,Other,25.15,25.55,-1.57,86.2,0.9,2026-07-01,26.5,3.35,3.11,0.029,,0.95,N,N,3
HFBL,Other,20.8,24.0,-13.33,62.1,8.9,2026-07-02,10.8,1.08,,,260.0,1.93,N,N,4
HFWA,Other,29.7,30.58,-2.88,58.4,0.6,2026-07-02,14.6,1.1,,,323.0,2.04,N,N,4
HNVR,Other,23.34,24.57,-5.01,39.9,0.6,2026-07-02,22.2,0.85,,,171.0,1.05,N,N,3
HOFT,Other,16.82,18.09,-7.02,61.3,0.6,2026-07-01,,1.06,3.09,0.139,343.0,-1.04,N,N,4
HOPE,Other,13.58,14.05,-3.35,62.4,0.8,2026-07-02,24.7,0.76,,,413.0,0.55,N,N,3
HTO,Other,62.42,62.68,-0.41,86.2,1.1,2026-07-02,21.4,1.42,2.02,1.022,282.0,2.92,N,N,4
HWBK,Other,38.64,40.36,-4.26,57.2,0.5,2026-07-01,11.2,1.52,,,211.0,3.46,N,N,3
HWC,Other,74.61,76.39,-2.33,64.4,1.1,2026-07-02,15.4,1.37,,,255.0,4.86,N,N,3
HYNE,Other,16.69,16.86,-1.01,69.4,0.4,2026-06-26,417.3,0.84,,,,0.04,N,N,2
IART,Other,18.05,18.92,-4.6,56.9,0.7,2026-06-29,,1.35,3.38,1.958,,-6.48,N,N,2
IBOC,Other,75.9,78.46,-3.26,50.9,0.7,2026-06-26,11.3,1.44,,,188.0,6.69,N,N,4
ICCC,Other,10.29,11.16,-7.8,59.0,1.5,2026-07-01,,3.2,4.82,0.439,,-0.07,N,N,2
ICHR,Other,98.22,113.58,-13.52,59.8,1.4,2026-07-01,,5.11,2.82,0.238,,-1.48,N,N,2
IGAC,Other,10.03,10.03,0.0,71.4,0.4,2026-07-02,,-34.12,1.0,,,,N,N,1
IGACR,Other,0.18,0.22,-18.18,33.3,2.8,2026-07-01,,-0.61,1.0,,,,N,N,1
IGIC,Other,27.66,27.98,-1.14,64.4,1.1,2026-07-02,10.0,1.77,0.66,,107.0,2.76,N,N,3
ILMN,Other,188.68,189.46,-0.41,68.0,1.4,2026-07-02,34.4,10.72,1.75,0.951,,5.49,N,N,2
IMUX,Other,14.8,15.84,-6.57,70.3,0.6,2026-06-26,,1.33,4.92,0.003,,-4.79,N,N,3
IMVT,Other,38.79,39.28,-1.25,84.0,0.6,2026-06-26,,9.28,9.09,0.0,,-2.77,N,N,2
INAC,Other,10.25,10.27,-0.19,49.4,1.1,2026-07-02,36.6,-43.43,7.84,,,0.28,N,N,3
INBK,Other,28.1,28.88,-2.7,69.5,1.9,2026-07-02,,0.68,,,85.0,-3.85,N,N,2
INDB,Other,84.18,85.74,-1.82,62.5,0.7,2026-07-01,16.7,1.15,,,292.0,5.03,N,N,3
INDV,Other,39.8,42.81,-7.03,61.6,0.8,2026-06-26,20.4,-33.73,0.86,,,1.95,N,N,2
INNV,Other,11.99,12.64,-5.14,87.2,0.7,2026-06-30,,7.1,1.03,0.362,,-0.08,N,N,1
IPCX,Other,10.35,10.35,0.0,66.7,0.3,2026-07-02,115.0,-25.43,3.45,,,0.09,N,N,3
IPEX,Other,10.5,10.52,-0.19,50.0,0.1,2026-06-26,1050.0,-19.02,0.07,,,0.01,N,N,2
IRDM,Other,53.75,57.18,-6.0,57.0,0.9,2026-07-02,54.3,12.13,2.85,3.82,112.0,0.99,N,N,3
ITIC,Other,281.21,284.4,-1.12,88.2,2.4,2026-07-02,13.9,1.95,1.51,0.032,66.0,20.16,N,N,4
JAZZ,Other,243.47,243.81,-0.14,58.0,0.8,2026-07-02,2028.9,3.37,2.04,1.195,,0.12,N,N,2
JBSS,Other,90.6,90.89,-0.32,80.3,0.7,2026-07-02,15.8,2.73,2.3,0.267,99.0,5.72,N,N,4
JMSB,Other,22.17,22.78,-2.68,62.3,0.4,2026-07-02,14.0,1.16,,,216.0,1.58,N,N,4
KALU,Other,176.27,195.96,-10.05,41.6,1.0,2026-06-30,19.2,3.25,2.47,1.219,175.0,9.17,N,N,3
KCHV,Other,10.39,10.39,0.0,70.0,0.0,2026-07-02,35.8,-54.97,4.45,,,0.29,N,N,3
KFFB,Other,5.07,5.48,-7.48,59.5,0.0,2026-06-30,29.8,0.83,,,,0.17,N,N,2
KINS,Other,20.12,20.24,-0.59,83.6,1.3,2026-07-02,9.1,2.54,0.53,0.037,99.0,2.21,N,N,4
KLIC,Other,121.33,135.8,-10.66,58.6,1.2,2026-07-01,117.8,7.4,4.21,0.046,67.0,1.03,N,N,4
KNSA,Other,64.53,64.81,-0.43,81.8,0.6,2026-06-30,70.9,7.85,3.79,0.015,,0.91,N,N,3
KOYN,Other,10.14,10.16,-0.2,58.3,2.4,2026-07-02,101.4,-46.51,4.51,,,0.1,N,N,3
KRNY,Other,9.37,9.66,-3.0,68.0,0.9,2026-07-02,16.4,0.77,,,470.0,0.57,N,N,3
KRT,Other,34.25,34.5,-0.72,81.0,1.2,2026-07-02,21.7,4.64,2.29,0.493,524.0,1.58,N,N,4
KRYS,Other,375.07,382.54,-1.95,79.0,0.6,2026-06-30,50.3,8.65,9.46,0.007,,7.46,N,N,3
KTCC,Other,4.26,4.42,-3.62,69.8,0.3,2026-06-30,,0.45,2.06,1.314,,-1.6,N,N,2
LAMR,Other,157.56,158.44,-0.56,72.4,0.7,2026-07-01,29.1,16.49,0.58,5.048,406.0,5.42,N,N,2
LARK,Other,31.14,32.39,-3.86,64.3,0.4,2026-06-26,9.9,1.18,,,263.0,3.13,N,N,4
LBRX,Other,33.43,34.0,-1.68,77.4,1.2,2026-07-02,,2.53,35.67,0.009,,-1.36,N,N,2
LCNB,Other,17.89,18.52,-3.4,58.0,0.3,2026-06-26,11.1,0.92,,,492.0,1.61,N,N,4
LFST,Other,11.27,11.62,-3.01,91.3,1.3,2026-07-02,187.8,2.96,1.49,0.323,,0.06,N,N,2
LGND,Other,319.55,320.99,-0.45,81.5,0.7,2026-06-30,41.7,6.42,21.28,0.453,,7.67,N,N,3
LILA,Other,7.62,8.1,-5.93,75.4,0.9,2026-07-01,,2.84,1.11,8.774,,-2.48,N,N,0
LILAK,Other,7.63,8.05,-5.22,75.7,1.3,2026-07-01,,2.84,1.11,8.774,,-2.48,N,N,0
LIND,Other,26.22,30.0,-12.6,65.0,0.7,2026-06-26,,-9.03,0.81,,,-0.54,N,N,1
LIVN,Other,83.62,83.98,-0.43,69.1,0.6,2026-06-26,42.7,3.79,1.33,0.284,,1.96,N,N,2
LIXT,Other,7.21,8.38,-13.96,49.7,1.2,2026-07-01,,10.56,,,,-1.14,N,N,0
LKSP,Other,10.15,10.15,0.0,57.1,0.1,2026-07-02,112.8,-35.0,1.2,,,0.09,N,N,2
LLYVA,Other,104.11,105.47,-1.29,66.1,1.0,2026-07-02,,-30.15,0.31,,,-3.83,N,N,1
LLYVK,Other,108.0,108.92,-0.84,67.2,0.9,2026-07-02,,-31.28,0.31,,,-3.83,N,N,1
LNTH,Other,109.89,111.86,-1.76,67.0,0.5,2026-06-30,26.2,5.9,2.83,0.516,,4.19,N,N,3
LOCO,Other,16.68,17.4,-4.14,61.9,0.7,2026-07-01,17.0,1.68,0.34,0.77,,0.98,N,N,2
LPAA,Other,10.85,10.85,0.0,70.0,0.0,2026-07-02,40.2,-25.96,0.29,,,0.27,N,N,2
LPBB,Other,10.7,10.76,-0.56,45.5,0.0,2026-06-26,35.7,-5.62,1.03,,,0.3,N,N,2
LQDA,Other,78.93,80.69,-2.18,63.9,0.5,2026-06-30,464.3,64.17,2.22,1.702,,0.17,N,N,2
LQDT,Other,38.36,39.93,-3.93,53.0,0.8,2026-06-29,41.2,5.38,1.51,0.067,,0.93,N,N,2
LSBK,Other,16.8,17.96,-6.46,55.6,0.9,2026-06-30,15.4,0.87,,,214.0,1.09,N,N,3
LWAC,Other,10.27,10.27,0.0,66.7,1.5,2026-07-02,,-44.65,0.1,,,,N,N,1
LXRX,Other,2.32,2.68,-13.43,68.7,0.6,2026-06-30,,4.84,18.8,0.284,,-0.07,N,N,2
MAMA,Other,18.68,21.0,-11.05,70.5,0.8,2026-06-29,124.5,13.74,2.32,0.247,,0.15,N,N,3
MBBC,Other,15.25,15.79,-3.42,68.8,0.3,2026-07-01,36.3,0.95,,,,0.42,N,N,2
MBIN,Other,48.82,51.47,-5.15,44.7,0.7,2026-06-30,11.9,1.26,,,90.0,4.1,N,N,4
MBWM,Other,57.81,59.71,-3.18,66.5,0.9,2026-07-02,10.4,1.36,,,270.0,5.58,N,N,4
MBX,Other,57.8,58.5,-1.2,92.8,0.7,2026-07-01,,6.28,30.79,0.001,,-2.17,N,N,2
MCBS,Other,36.26,37.46,-3.2,65.2,0.8,2026-07-02,13.0,1.88,,,287.0,2.78,N,N,3
MCHB,Other,16.16,16.53,-2.24,65.9,0.7,2026-07-02,,1.28,,,810.0,-680.1,N,N,2
MCRI,Other,129.94,135.93,-4.41,57.0,0.9,2026-06-29,22.1,4.19,0.98,0.024,92.0,5.89,N,N,3
MGTX,Other,13.92,13.94,-0.14,83.7,1.0,2026-07-02,,-19.5,0.55,,,-1.48,N,N,1
MIRM,Other,125.59,125.75,-0.13,82.7,0.6,2026-07-02,,31.56,2.09,1.335,,-13.59,N,N,1
MITK,Other,19.21,21.05,-8.74,78.0,0.8,2026-07-01,56.5,3.6,2.61,0.239,,0.34,N,N,3
MKDW,Other,11.8,12.29,-3.99,79.3,0.1,2026-06-29,,-14.9,0.3,,,-0.66,N,N,1
MKSI,Other,365.56,447.62,-18.33,53.2,1.4,2026-06-30,76.3,8.75,1.11,1.527,27.0,4.79,N,N,2
MMTX,Other,10.11,10.12,-0.1,75.0,0.0,2026-06-29,,-631.87,14.82,,,,N,N,2
MNSB,Other,24.64,25.29,-2.57,52.1,0.4,2026-07-02,12.4,0.93,,,162.0,1.99,N,N,4
MOVE,Other,17.37,26.72,-34.99,48.0,1.3,2026-06-29,,21.77,2.14,0.033,,-9.49,N,N,2
MPB,Other,35.18,35.98,-2.22,59.9,0.8,2026-07-02,16.0,1.0,,,244.0,2.2,N,N,3
MPLT,Other,37.09,37.61,-1.38,70.3,0.8,2026-07-02,,4.19,22.91,0.014,,-4.41,N,N,2
MQ,Other,17.41,17.65,-1.36,97.5,0.3,2026-07-02,435.2,2.5,1.65,0.01,,0.04,N,N,2
MRCY,Other,126.21,127.83,-1.27,57.9,0.7,2026-07-01,,5.08,3.19,0.444,,-0.23,N,N,2
MRVI,Other,6.04,6.55,-7.79,70.0,0.5,2026-06-29,,4.21,5.91,0.854,,-0.71,N,N,2
MSBI,Other,30.35,31.67,-4.17,56.8,0.8,2026-07-01,25.3,1.41,,,422.0,1.2,N,N,3
MTCH,Other,37.9,38.94,-2.67,68.4,0.8,2026-07-01,14.5,-40.62,1.57,,211.0,2.62,N,N,4
MVBF,Other,29.41,30.23,-2.71,65.7,1.1,2026-07-02,13.5,1.13,,,231.0,2.18,N,N,4
MXL,Other,93.12,128.3,-27.42,55.2,1.2,2026-06-30,,18.36,1.7,0.333,,-1.52,N,N,1
MYFW,Other,32.99,33.69,-2.08,72.6,0.5,2026-07-02,21.4,1.17,,,,1.54,N,N,2
MYRG,Other,433.01,503.57,-14.01,51.9,1.2,2026-06-30,47.8,9.59,1.31,0.088,,9.05,N,N,2
NAVN,Other,25.67,25.85,-0.7,60.9,1.1,2026-07-02,,5.24,4.31,0.139,,-1.41,N,N,2
NBIX,Other,174.26,174.38,-0.07,66.9,1.0,2026-07-02,26.8,5.14,2.93,0.136,,6.5,N,N,3
NBTB,Other,50.08,51.09,-1.98,66.6,0.9,2026-07-02,14.1,1.36,,,296.0,3.54,N,N,4
NDLS,Other,14.49,16.1,-10.0,51.9,0.9,2026-07-02,,-1.78,0.28,,,-6.35,N,N,1
NECB,Other,27.61,28.94,-4.6,67.9,0.8,2026-06-26,8.6,0.96,,,362.0,3.21,N,N,4
NEO,Other,15.16,15.56,-2.57,81.4,0.6,2026-07-02,,2.37,4.42,0.493,,-0.77,N,N,2
NESR,Other,27.9,30.31,-7.95,62.6,0.8,2026-06-30,43.6,2.83,1.04,0.319,,0.64,N,N,2
NEWT,Other,14.57,15.34,-5.02,62.1,0.8,2026-06-29,6.4,1.18,14.94,1.367,521.0,2.26,N,N,5
NFBK,Other,14.79,15.01,-1.47,52.5,0.6,2026-06-26,113.8,0.89,,,352.0,0.13,N,N,3
NMP,Other,10.26,10.28,-0.19,66.7,0.0,2026-06-29,46.6,466.36,0.87,0.014,,0.22,N,N,2
NNBR,Other,3.49,4.44,-21.4,59.5,1.0,2026-07-02,,7.06,1.87,1.519,,-1.1,N,N,0
NODK,Other,16.09,16.49,-2.43,63.1,0.7,2026-06-26,,1.32,0.55,0.005,,-0.21,N,N,2
NRC,Other,22.4,22.65,-1.1,78.5,0.4,2026-07-01,57.4,37.4,0.52,5.782,268.0,0.39,N,N,2
NRIX,Other,23.97,24.88,-3.66,95.1,0.4,2026-06-30,,5.15,6.01,0.122,,-3.17,N,N,2
NTCT,Other,40.93,43.8,-6.55,44.5,0.8,2026-06-30,31.5,1.77,1.85,0.024,,1.3,N,N,2
NTRA,Other,279.32,279.63,-0.11,86.9,0.8,2026-07-02,,22.47,2.96,0.135,,-1.62,N,N,2
NTWO,Other,10.74,10.74,0.0,,12.4,2026-07-02,41.3,-47.11,5.22,,,0.26,N,N,3
NUTX,Other,196.53,201.49,-2.46,86.7,1.9,2026-07-02,14.4,3.95,3.14,0.79,,13.68,N,N,4
NUVL,Other,123.73,123.8,-0.06,65.2,0.2,2026-07-02,,8.31,16.14,,,-6.06,N,N,1
NVCT,Other,19.57,29.27,-33.14,64.8,1.3,2026-06-29,,36.51,2.27,,,-1.31,N,N,1
NWBI,Other,15.11,15.47,-2.33,62.1,1.0,2026-07-02,16.4,1.16,,,529.0,0.92,N,N,3
NWFL,Other,32.22,32.86,-1.95,53.1,0.5,2026-06-29,11.8,1.23,,,396.0,2.72,N,N,4
OACC,Other,10.74,10.74,0.0,75.0,0.2,2026-07-02,37.0,-36.53,0.87,,,0.29,N,N,2
OBA,Other,10.25,10.25,0.0,60.0,0.0,2026-07-02,32.0,-28.95,6.55,,,0.32,N,N,3
OKTA,Other,141.42,145.95,-3.1,79.7,0.9,2026-07-02,101.7,3.59,1.43,0.06,,1.39,N,N,2
OLPX,Other,2.07,2.09,-0.96,66.7,8.5,2026-07-02,,1.58,6.27,0.401,,-0.02,N,N,2
ONB,Other,26.0,26.52,-1.96,68.9,0.9,2026-07-02,13.4,1.21,,,223.0,1.94,N,N,4
OPBK,Other,15.14,15.73,-3.75,68.5,0.6,2026-06-26,8.3,0.97,,,370.0,1.83,N,N,4
OPK,Other,1.52,1.61,-5.59,63.0,0.7,2026-06-26,,0.95,3.61,0.33,,-0.27,N,N,3
ORKA,Other,85.21,97.78,-12.86,67.6,2.4,2026-06-30,,8.84,23.76,0.004,,-1.93,N,N,2
ORRF,Other,40.85,42.0,-2.74,61.4,0.6,2026-07-02,9.4,1.33,,,279.0,4.36,N,N,4
OSBC,Other,23.23,23.95,-3.01,62.9,0.6,2026-07-02,13.9,1.34,,,116.0,1.67,N,N,4
OUST,Other,49.84,63.79,-21.87,58.8,1.7,2026-06-30,,11.48,2.98,0.063,,-0.93,N,N,2
OYSE,Other,10.31,10.34,-0.29,70.0,0.0,2026-06-30,34.4,-44.06,6.29,,,0.3,N,N,3
OZK,Other,49.84,53.39,-6.65,42.1,2.1,2026-07-01,8.1,0.94,,,373.0,6.15,N,N,4
PACH,Other,10.26,10.26,0.0,58.3,0.0,2026-07-02,34.2,-27.96,2.65,,,0.3,N,N,3
PARK,Other,20.91,22.67,-7.76,65.5,0.8,2026-06-30,,3.71,1.07,2.349,,-0.51,N,N,0
PCB,Other,28.51,29.29,-2.66,73.7,0.5,2026-07-02,10.2,1.23,,,294.0,2.79,N,N,4
PDFS,Other,59.18,71.69,-17.45,45.1,1.6,2026-06-30,328.8,8.42,2.34,0.257,,0.18,N,N,3
PDLB,Other,20.11,20.62,-2.47,63.2,0.6,2026-07-02,15.4,1.49,,,,1.31,N,N,2
PEBO,Other,38.71,39.33,-1.58,68.9,0.6,2026-07-02,12.4,1.14,,,434.0,3.12,N,N,4
PECO,Other,42.06,42.7,-1.5,56.1,0.8,2026-06-26,45.7,2.33,1.42,0.965,309.0,0.92,N,N,3
PFIS,Other,67.12,68.61,-2.17,69.5,1.4,2026-07-02,11.5,1.28,,,369.0,5.84,N,N,4
PGAC,Other,10.63,11.39,-6.67,75.0,0.0,2026-06-29,53.0,-64.7,0.16,,,0.2,N,N,2
PGC,Other,47.38,49.14,-3.58,56.5,1.0,2026-07-02,19.2,1.24,,,42.0,2.47,N,N,3
PGEN,Other,5.64,6.04,-6.62,69.9,0.8,2026-06-29,,98.95,4.82,4.855,,-1.21,N,N,1
PGNY,Other,30.22,30.33,-0.36,86.3,0.7,2026-07-02,39.2,5.34,2.13,0.062,,0.77,N,N,3
PHVS,Other,33.86,35.9,-5.68,60.8,1.1,2026-06-30,,8.24,11.24,0.003,,-3.09,N,N,2
PKBK,Other,32.93,33.84,-2.69,62.8,0.7,2026-07-02,9.4,1.15,,,243.0,3.51,N,N,4
PKOH,Other,36.3,39.33,-7.7,61.9,1.1,2026-06-26,20.7,1.32,2.4,1.814,138.0,1.75,N,N,4
PLBC,Other,59.13,60.47,-2.22,64.8,0.7,2026-07-02,12.5,1.55,,,224.0,4.73,N,N,3
PLPC,Other,368.77,414.35,-11.0,47.7,1.0,2026-07-01,52.9,3.81,3.0,0.105,23.0,6.97,N,N,4
PLSE,Other,29.2,31.0,-5.81,59.1,0.5,2026-06-26,,30.05,7.26,0.108,,-1.1,N,N,2
PNTG,Other,38.52,39.42,-2.28,85.8,2.0,2026-07-02,44.8,3.87,1.19,1.166,,0.86,N,N,1
PPLI,Other,46.75,46.88,-0.28,72.9,0.9,2026-07-01,28.7,0.77,3.69,0.309,,1.63,N,N,4
PRLD,Other,4.91,5.69,-13.71,64.1,0.6,2026-06-30,,6.74,2.03,0.294,,-1.0,N,N,2
PROV,Other,17.21,17.39,-1.04,62.0,0.3,2026-07-02,18.5,0.86,,,325.0,0.93,N,N,3
PRVA,Other,27.36,27.52,-0.58,86.6,0.7,2026-07-02,160.9,4.57,1.61,0.011,,0.17,N,N,2
PSMT,Other,197.9,199.41,-0.76,82.3,0.8,2026-06-30,39.0,4.47,1.29,0.236,71.0,5.07,N,N,3
PSNL,Other,13.62,14.24,-4.35,82.8,1.0,2026-07-02,,5.6,6.61,0.152,,-1.02,N,N,2
PTGX,Other,131.62,131.87,-0.19,89.7,0.8,2026-07-02,,12.9,17.76,0.015,,-1.8,N,N,2
PTRN,Other,26.43,26.66,-0.86,76.9,1.1,2026-07-02,,7.66,2.45,0.051,,-0.81,N,N,2
PUBM,Other,13.55,13.99,-3.15,77.0,1.0,2026-07-01,,2.51,1.37,0.17,,-0.38,N,N,1
PVLA,Other,146.76,161.38,-9.06,73.3,0.9,2026-06-30,,9.04,28.88,0.088,,-4.17,N,N,2
PYPD,Other,5.02,5.24,-4.2,61.8,1.4,2026-06-29,,10.96,1.78,0.267,,-1.74,N,N,1
QCRH,Other,96.65,99.87,-3.22,51.4,0.6,2026-07-02,12.2,1.42,,,41.0,7.95,N,N,4
QTTB,Other,13.09,15.02,-12.85,52.2,0.3,2026-06-29,4.7,4.13,5.36,0.295,,2.77,N,N,4
QUMS,Other,10.22,10.25,-0.29,57.1,0.0,2026-06-29,85.2,-36.11,1.16,,,0.12,N,N,2
RANG,Other,10.69,11.66,-8.32,82.6,0.0,2026-07-01,44.6,,0.98,,,0.24,N,N,1
RAPP,Other,38.97,43.76,-10.95,62.7,0.6,2026-06-30,,3.95,27.08,0.023,,-2.6,N,N,2
RBB,Other,27.13,28.2,-3.79,72.6,0.7,2026-07-02,11.5,0.87,,,236.0,2.36,N,N,4
RBCAA,Other,91.5,93.54,-2.18,68.4,1.3,2026-07-02,,,,,,,N,N,0
RDVT,Other,65.52,67.68,-3.19,84.8,1.3,2026-07-01,67.5,8.85,11.22,0.026,,0.97,N,N,3
REYN,Other,27.18,27.32,-0.51,86.2,1.1,2026-07-02,17.4,2.53,1.79,0.721,338.0,1.56,N,N,3
RLAY,Other,18.65,19.93,-6.42,75.2,0.7,2026-06-29,,,,,,,N,N,0
RMBI,Other,15.16,16.59,-8.62,56.7,0.2,2026-06-26,,,,,,,N,N,0
RMTI,Other,5.54,5.69,-2.64,96.6,0.3,2026-07-01,,,,,,,N,N,0
ROIV,Other,35.13,35.9,-2.14,91.5,0.8,2026-06-30,,,,,,,N,N,0
RPRX,Other,57.77,57.8,-0.05,60.4,0.8,2026-07-02,,,,,,,N,N,0
RRGB,Other,7.15,8.26,-13.44,71.2,0.9,2026-06-30,,,,,,,N,N,0
RRR,Other,65.6,68.11,-3.69,59.4,1.2,2026-06-29,,,,,,,N,N,0
RVMD,Other,189.24,193.1,-2.0,84.7,0.9,2026-06-30,,,,,,,N,N,0
SBFG,Other,25.08,26.0,-3.54,67.0,0.5,2026-07-02,,,,,,,N,N,0
SCHL,Other,46.41,48.07,-3.45,63.8,0.6,2026-07-01,,,,,,,N,N,0
