Ticker,Sector,Last Close,52W Low,% From Low,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
MSS,Other,0.72,0.64,12.5,20.4,0.2,2026-06-26,,0.24,0.67,6.296,,-5.59,N,N,1
MSTR,Other,100.77,81.81,23.18,39.2,1.2,2026-06-26,,0.95,6.05,0.181,,-36.99,N,N,3
MTEK,Other,0.99,0.94,5.32,26.7,0.3,2026-07-01,,13.2,1.57,7.628,,-0.68,N,N,0
MVIS,Other,0.38,0.26,46.15,53.1,0.7,2026-06-29,,3.06,1.05,1.351,,-0.31,N,N,0
MVST,Other,1.12,1.07,4.67,49.2,0.8,2026-06-29,,0.8,0.96,0.699,,-0.18,N,N,2
NAGE,Other,3.43,3.18,7.86,50.0,0.7,2026-06-30,16.3,3.32,4.61,0.031,,0.21,N,N,3
NAKA,Other,3.86,3.78,2.12,35.5,1.4,2026-06-30,,0.18,0.25,0.572,,-18.85,N,N,2
NCRA,Other,0.07,0.06,16.67,29.0,0.4,2026-07-02,,-0.71,8.01,,,-0.27,N,N,2
NEGG,Other,14.91,14.54,2.54,19.7,1.1,2026-07-02,57.3,1.86,1.71,0.332,,0.26,N,N,2
NEON,Other,0.93,0.72,29.17,29.2,0.3,2026-06-29,1.9,0.68,11.9,0.011,,0.48,N,N,5
NEUP,Other,3.38,3.19,5.96,23.9,1.1,2026-07-01,,0.62,14.31,0.001,,-7.9,N,N,3
NEXM,Other,2.42,2.2,10.0,43.2,0.5,2026-06-26,,1.71,7.72,0.02,,-1.77,N,N,2
NFE,Other,0.36,0.32,12.5,26.5,0.7,2026-06-26,,-0.57,0.13,,,-7.38,N,N,1
NHTC,Other,1.84,1.55,18.71,30.7,0.6,2026-06-26,,0.96,2.0,0.184,2174.0,-0.11,N,N,4
NIVF,Other,0.46,0.43,6.98,41.3,0.1,2026-07-02,0.0,0.0,3.12,0.187,,109.68,N,N,5
NMTC,Other,3.0,2.89,3.81,37.9,0.6,2026-06-30,,4.81,4.38,0.039,,-0.89,N,N,2
NSPR,Other,0.7,0.63,11.11,45.9,1.2,2026-06-26,,0.75,5.15,0.071,,-0.7,N,N,3
NTCL,Other,0.09,0.09,0.0,6.5,0.3,2026-07-02,,0.32,1.29,0.456,,-30.03,N,N,2
NVX,Other,0.45,0.42,7.14,15.7,0.4,2026-06-29,,0.58,1.07,0.621,,-0.35,N,N,2
NWTG,Other,0.82,0.8,2.5,27.5,0.9,2026-07-02,,-2.48,0.42,,,-1.63,N,N,1
NXTC,Other,1.88,1.55,21.29,40.6,0.4,2026-06-26,,0.25,4.61,0.184,,-16.86,N,N,3
OLED,Other,78.7,77.15,2.01,34.6,1.1,2026-07-02,17.5,2.16,9.54,0.013,254.0,4.49,N,N,4
OMH,Other,0.5,0.45,11.11,19.4,0.1,2026-06-30,,3.12,1.25,0.405,,-0.52,N,N,1
ORBS,Other,0.71,0.68,4.41,35.2,0.5,2026-06-30,,0.81,12.27,0.028,,-3.55,N,N,3
ORIO,Other,0.87,0.81,7.41,47.3,1.3,2026-07-01,,0.44,5.18,1.255,,-0.07,N,N,2
OSRH,Other,0.32,0.3,6.67,24.2,1.8,2026-07-01,10.7,0.1,0.16,0.039,,0.03,N,N,4
OYSER,Other,0.11,0.11,0.0,,0.0,2026-07-02,,-0.49,6.29,,,,N,N,2
PATK,Other,85.03,82.35,3.25,48.7,2.4,2026-06-30,21.9,2.37,2.71,1.351,221.0,3.89,N,N,3
PAVS,Other,7.02,0.07,9928.57,92.0,0.0,2026-06-26,,0.2,1.15,0.108,,-12136.07,N,N,2
PAX,Other,11.1,10.56,5.11,38.9,0.8,2026-06-29,20.9,2.93,0.64,0.41,552.0,0.53,N,N,3
PFSA,Other,0.09,0.08,12.5,20.5,0.9,2026-07-02,,-0.01,0.02,,,-15.36,N,N,1
PLCE,Other,2.9,2.76,5.07,27.5,1.0,2026-06-26,,-0.6,0.89,,,-4.82,N,N,1
PLUR,Other,2.11,1.99,6.03,41.9,0.2,2026-06-26,,-1.18,0.33,,,-2.9,N,N,1
PMAX,Other,1.82,1.66,9.64,45.8,0.1,2026-07-02,,0.09,1.8,0.194,,-11.99,N,N,2
PRPL,Other,0.36,0.34,5.88,27.1,0.5,2026-06-30,,-0.65,1.24,,,-0.57,N,N,1
PRSO,Other,0.82,0.76,7.89,31.9,1.4,2026-06-26,,2.24,3.34,0.035,,-0.8,N,N,2
PRZO,Other,0.47,0.45,4.44,27.4,0.3,2026-06-26,,2.92,3.64,0.097,,-0.31,N,N,2
PSHG,Other,1.64,1.61,1.86,39.0,1.4,2026-07-02,2.1,0.06,,0.942,,0.79,N,N,4
PSIG,Other,1.27,1.03,23.3,15.0,0.2,2026-06-29,,-2.91,0.79,,,-3.81,N,N,1
PSNYW,Other,2.41,2.1,14.76,36.8,0.0,2026-06-30,,-0.04,0.43,,,-25.78,N,N,1
RCON,Other,0.42,0.38,10.53,26.5,0.9,2026-06-30,,0.19,4.24,0.084,,-0.44,N,N,3
RCT,Other,0.24,0.22,9.09,17.2,0.2,2026-07-02,,-1.9,0.27,,,-1.05,N,N,1
REFR,Other,0.55,0.48,14.58,29.8,0.9,2026-06-26,,,,,,,N,N,0
REKR,Other,0.68,0.6,13.33,46.1,0.4,2026-06-26,,2.17,0.87,0.854,,-0.23,N,N,1
RENT,Other,3.45,3.01,14.62,46.9,1.4,2026-06-30,0.5,-2.17,0.75,,,7.64,N,N,3
RGC,Other,6.37,5.8,9.83,13.7,2.3,2026-06-30,,3185.0,1.42,0.317,,-0.01,N,N,1
RKDA,Other,0.73,0.63,15.87,20.6,0.0,2026-07-01,,0.52,3.79,,,-5.72,N,N,2
RMCF,Other,1.09,0.84,29.76,30.0,0.4,2026-06-29,,,,,,,N,N,0
RMTI,Other,5.54,0.55,907.27,96.6,0.3,2026-06-29,,,,,,,N,N,0
RPGL,Other,1.85,1.8,2.78,24.4,0.1,2026-07-02,,,,,,,N,N,0
RUBI,Other,5.1,4.75,7.37,18.5,0.0,2026-07-01,,,,,,,N,N,0
SAMG,Other,10.53,10.01,5.19,47.2,0.4,2026-07-01,,,,,,,N,N,0
SBET,Other,5.31,4.46,19.06,47.7,1.5,2026-06-26,,,,,,,N,N,0
SDST,Other,1.7,1.52,11.84,41.1,0.4,2026-07-01,,,,,,,N,N,0
SEER,Other,1.62,1.55,4.52,36.7,14.3,2026-07-02,,,,,,,N,N,0
