Ticker,Last Close,52W High,Date Hit
AMUU,251.17,293.65,2026-06-30
AMYY,15.82,15.94,2026-06-30
ANGL,29.11,29.12,2026-07-01
AOUT,12.29,13.78,2026-06-29
APAC,10.12,10.18,2026-06-30
APD,306.4,307.76,2026-07-01
APH,172.22,178.52,2026-06-30
APOG,43.84,50.88,2026-06-26
APPS,13.31,13.55,2026-07-01
APXT,10.05,10.1,2026-07-01
AROW,42.07,42.16,2026-07-01
ASMG,55.77,65.82,2026-06-30
ASML,1843.04,1999.96,2026-06-30
ASND,267.79,271.89,2026-06-25
ASTH,49.81,50.61,2026-07-01
ATEX,108.21,108.61,2026-07-01
ATLC,103.75,112.61,2026-06-26
ATLCL,25.23,25.25,2026-06-30
ATLCZ,25.17,25.26,2026-07-01
ATRO,76.06,88.72,2026-06-25
AUBN,27.82,28.88,2026-06-26
AVBH,33.51,33.71,2026-07-01
AVBP,34.5,35.83,2026-06-26
AVGB,51.12,51.25,2026-06-29
AXGN,44.02,46.95,2026-07-01
BAC,58.36,59.2,2026-06-25
BACC,10.83,11.0,2026-07-01
BAFE,29.29,29.42,2026-07-01
BALQ,56.24,58.0,2026-07-01
BANFP,26.59,26.63,2026-06-29
BANR,67.83,68.42,2026-06-25
BASV,30.82,31.14,2026-06-25
BATRA,56.97,57.83,2026-07-01
BATRK,51.65,53.25,2026-07-01
BBCP,11.85,12.15,2026-07-01
BBGI,25.58,29.3,2026-06-29
BBH,204.46,204.61,2026-07-01
BCAL,21.17,21.2,2026-07-01
BCAX,28.91,29.9,2026-07-01
BCLO,49.53,49.58,2026-06-25
BCML,33.84,33.97,2026-07-01
BCRX,9.65,10.94,2026-06-25
BDSX,24.5,24.92,2026-07-01
BEDY,28.96,29.73,2026-06-30
BELFA,281.67,293.51,2026-06-30
BELFB,318.06,335.29,2026-06-30
BEN,34.06,34.52,2026-07-01
BFC,152.99,154.29,2026-07-01
BFST,31.42,31.49,2026-07-01
BHRB,72.76,73.32,2026-07-01
BIB,100.76,102.0,2026-07-01
BIIB,209.74,219.72,2026-06-29
BIOA,24.26,25.8,2026-06-29
BJRI,60.69,62.07,2026-07-01
BKMS,25.5,25.6,2026-06-29
BLFS,28.49,30.0,2026-06-29
BLZE,16.36,16.59,2026-07-01
BMOP,25.12,25.23,2026-06-30
BMRC,28.94,28.95,2026-07-01
BOF,5.09,5.25,2026-07-01
BOKF,141.24,141.57,2026-07-01
BPAC,10.12,10.13,2026-06-26
BPOP,168.5,169.14,2026-07-01
BPRN,38.93,39.02,2026-07-01
BSCQ,19.52,19.53,2026-07-01
BSCR,19.62,19.62,2026-07-01
BSCS,20.35,20.37,2026-06-30
BSET,18.79,19.24,2026-07-01
BSJR,22.33,22.38,2026-06-30
BSJU,25.82,25.83,2026-06-30
BSJX,25.16,25.25,2026-06-25
BSMQ,23.55,23.62,2026-07-01
BSMZ,25.68,25.73,2026-06-29
BSRR,41.68,41.78,2026-07-01
BSVN,50.12,50.58,2026-07-01
BSVO,29.15,29.45,2026-07-01
BTSG,69.85,70.72,2026-06-26
BUFC,42.54,42.62,2026-07-01
BUG,39.18,39.7,2026-07-01
BULD,36.94,38.5,2026-06-30
BUSE,30.17,30.26,2026-07-01
BUUU,21.59,27.0,2026-06-25
BVFL,21.46,22.17,2026-06-26
BWB,21.68,21.76,2026-07-01
BWFG,60.24,60.46,2026-07-01
CAC,55.79,55.89,2026-07-01
CACC,655.72,663.43,2026-07-01
CADL,9.88,11.36,2026-06-30
CAFG,33.92,34.33,2026-07-01
CAH,237.72,240.41,2026-06-29
CAKE,79.64,80.93,2026-07-01
CALI,50.42,50.51,2026-07-01
CANC,40.81,41.88,2026-06-30
CARE,34.59,34.6,2026-07-01
CASS,52.38,53.19,2026-07-01
CAT,991.41,1073.46,2026-06-30
CATY,63.28,63.37,2026-07-01
CB,351.73,352.95,2026-07-01
CBC,31.36,31.39,2026-07-01
