Ticker,Sector,Last Close,52W Low,% From Low,RSI,Vol vs Avg,Date Hit
PSNYW,Other,2.41,2.1,14.76,36.8,0.0,2026-06-30
RCON,Other,0.42,0.38,10.53,26.5,0.8,2026-06-30
RCT,Other,0.24,0.22,9.09,17.2,0.2,2026-07-02
REFR,Other,0.55,0.48,14.58,29.4,0.9,2026-06-26
REKR,Other,0.68,0.6,13.33,46.2,0.4,2026-06-26
RENT,Other,3.45,3.01,14.62,46.9,1.4,2026-06-30
RGC,Other,6.37,5.8,9.83,13.7,2.3,2026-06-30
RKDA,Other,0.73,0.63,15.87,20.6,0.0,2026-07-01
RMCF,Other,1.09,0.84,29.76,30.0,0.4,2026-06-29
RMTI,Other,5.54,0.55,907.27,96.6,0.3,2026-06-29
RPGL,Other,1.85,1.8,2.78,24.4,0.1,2026-07-02
RUBI,Other,5.1,4.75,7.37,18.5,0.0,2026-07-01
SAMG,Other,10.53,10.01,5.19,47.2,0.4,2026-07-01
SBET,Other,5.31,4.46,19.06,47.7,1.5,2026-06-26
SDST,Other,1.7,1.52,11.84,41.1,0.4,2026-07-01
SEER,Other,1.62,1.55,4.52,36.7,4.2,2026-07-02
SGLY,Other,0.31,0.3,3.33,31.4,0.3,2026-07-01
SHOE,Other,15.09,14.79,2.03,26.9,0.9,2026-06-30
SHPH,Other,3.58,2.9,23.45,42.3,0.1,2026-06-29
SIEB,Other,1.69,1.56,8.33,40.5,0.2,2026-06-29
SIGA,Other,3.86,3.56,8.43,29.7,0.9,2026-06-30
SINT,Other,1.9,1.8,5.56,30.9,0.5,2026-06-29
SKYX,Other,1.04,0.95,9.47,48.1,0.6,2026-06-26
SLSN,Other,0.68,0.68,0.0,23.4,0.3,2026-07-02
SMXT,Other,0.35,0.29,20.69,31.2,0.1,2026-06-26
SNT,Other,1.9,1.89,0.53,11.6,2.0,2026-07-02
SPWR,Other,0.63,0.58,8.62,22.5,0.5,2026-06-26
SSNC,Other,65.52,61.4,6.71,42.1,0.7,2026-06-30
STEP,Other,41.13,38.85,5.87,48.4,2.6,2026-06-29
SUIG,Other,1.24,1.07,15.89,41.1,1.0,2026-06-30
SURG,Other,0.57,0.34,67.65,64.4,14.0,2026-06-30
SWVL,Other,1.4,1.3,7.69,50.7,0.1,2026-06-30
TDIC,Other,4.82,4.82,0.0,33.7,0.0,2026-07-02
TDTH,Other,1.57,1.27,23.62,29.9,0.2,2026-06-30
TMS,Other,7.5,7.01,6.99,33.4,0.3,2026-06-30
TNON,Other,0.29,0.27,7.41,35.0,3.3,2026-07-02
TRNR,Other,4.2,0.44,854.55,85.1,0.0,2026-06-26
TRUG,Other,1.33,1.22,9.02,35.4,1.5,2026-06-26
TTEC,Other,2.15,1.91,12.57,41.4,0.7,2026-06-30
TVRD,Other,2.02,1.5,34.67,33.0,0.3,2026-06-26
UONE,Other,5.39,5.1,5.69,44.5,0.3,2026-06-26
UPLD,Other,4.9,4.0,22.5,21.1,0.9,2026-06-29
UZX,Other,0.27,0.19,42.11,24.5,1.1,2026-07-02
VEEA,Other,0.23,0.18,27.78,5.2,0.3,2026-06-29
VIVK,Other,0.33,0.31,6.45,12.4,0.1,2026-06-30
VIVS,Other,0.98,0.95,3.16,30.4,1.1,2026-07-02
VMAR,Other,1.44,1.41,2.13,24.8,0.6,2026-07-02
VRME,Other,0.62,0.59,5.08,34.0,0.7,2026-06-29
VRXA,Other,2.04,1.7,20.0,6.3,8.5,2026-07-01
VSEE,Other,0.11,0.1,10.0,18.9,0.3,2026-06-26
VSTD,Other,0.21,0.2,5.0,30.0,0.4,2026-06-26
VTGN,Other,0.25,0.2,25.0,33.3,1.0,2026-06-30
WIMI,Other,1.53,1.43,6.99,35.0,0.4,2026-06-26
WRAP,Other,1.41,1.04,35.58,58.0,0.8,2026-06-26
XCH,Other,0.57,0.54,5.56,48.3,2.4,2026-07-02
XELLL,Other,23.67,23.35,1.37,47.6,0.6,2026-06-26
XPON,Other,0.45,0.43,4.65,36.7,0.5,2026-06-29
XXII,Other,4.01,3.74,7.22,23.1,0.5,2026-06-29
YDDL,Other,2.09,1.95,7.18,12.9,0.9,2026-07-01
YDES,Other,1.9,1.7,11.76,25.3,4.0,2026-07-02
YHC,Other,0.05,0.04,25.0,25.0,2.4,2026-07-02
YOOV,Other,0.7,0.36,94.44,56.3,0.2,2026-06-30
YYGH,Other,1.25,1.11,12.61,20.8,0.1,2026-07-01
ZBAO,Other,0.44,0.4,10.0,24.4,0.4,2026-07-01
ZCMD,Other,1.11,0.3,270.0,62.0,0.1,2026-06-26
ZSTK,Other,3.35,3.0,11.67,24.5,1.8,2026-06-30
ZYBT,Other,0.65,0.62,4.84,22.4,0.1,2026-07-02
CCI,Real Estate,76.6,74.33,3.05,23.5,0.8,2026-07-01
CSGP,Real Estate,30.0,28.18,6.46,38.7,0.6,2026-06-30
CEG,Utilities,239.25,228.63,4.65,44.9,1.0,2026-07-01
