Ticker,Last Close,52W Low,Date Hit
WHLR,1.12,0.98,2026-07-01
WIMI,1.5,1.43,2026-06-26
WRAP,1.48,1.04,2026-06-26
WRD,5.64,5.18,2026-06-26
XBCI,31.53,29.12,2026-06-30
XBTY,5.58,5.49,2026-06-30
XELLL,23.65,23.35,2026-06-26
XPEG,5.21,4.15,2026-06-26
XPON,0.46,0.43,2026-06-29
XXII,4.39,3.74,2026-06-29
YBMN,10.35,9.22,2026-06-30
YDDL,1.96,1.95,2026-07-01
YHC,0.04,0.04,2026-07-02
YOOV,0.59,0.36,2026-06-30
YYAI,7.45,6.4,2026-06-25
YYGH,1.27,1.11,2026-07-01
ZBAO,0.45,0.4,2026-07-01
ZCMD,1.08,0.3,2026-06-26
ZNB,0.62,0.52,2026-06-25
ZSTK,3.11,3.0,2026-06-30
ZTS,74.11,71.47,2026-06-30
ZYBT,0.68,0.64,2026-06-29
